"account_id","open_date","statement_frequency","district_name","num_customers","credit_cards","loan_amount","loan_payments","loan_term","loan_status","loan_default","loan","max_withdrawal","min_withdrawal","cc_payments","max_balance","min_balance"
"41",1997-08-02,"monthly","Olomouc",1,1,NA,NA,NA,NA,NA,"F",NA,NA,36,100992,800
"42",1996-08-16,"monthly","Most",1,1,NA,NA,NA,NA,NA,"F",4239,239,63,45322,800
"43",1994-06-12,"monthly","Liberec",1,0,NA,NA,NA,NA,NA,"F",6589,6589,112,99572,1100
"44",1993-05-10,"monthly","Ceska Lipa",1,0,NA,NA,NA,NA,NA,"F",2344,2344,131,29482,400
"45",1997-09-02,"monthly","Zlin",1,0,NA,NA,NA,NA,NA,"F",NA,NA,41,52970,300
"47",1993-08-08,"monthly","Jicin",1,0,NA,NA,NA,NA,NA,"F",6940,9,133,108509,300
"48",1996-11-17,"monthly","Tabor",2,0,NA,NA,NA,NA,NA,"F",6268,1029,52,72803,700
"49",1997-04-06,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",3102,3102,43,24004,300
"50",1994-05-06,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",7024,269,117,90088,900
"51",1996-05-11,"monthly","Bruntal",1,1,NA,NA,NA,NA,NA,"F",2074,2057,63,106203,800
"52",1997-01-29,"monthly","Jindrichuv Hradec",1,0,NA,NA,NA,NA,NA,"F",3723,560,48,83077,900
"53",1995-06-07,"monthly","Vsetin",1,0,NA,NA,NA,NA,NA,"F",2851,2851,87,27519,700
"54",1995-05-02,"monthly","Kladno",1,0,NA,NA,NA,NA,NA,"F",2280,2280,89,29756,1000
"55",1996-02-19,"monthly","Strakonice",1,0,NA,NA,NA,NA,NA,"F",3086,3086,65,23445,300
"56",1994-05-16,"monthly","Svitavy",1,1,NA,NA,NA,NA,NA,"F",8080,8080,118,78757,900
"57",1995-05-21,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",4107,4107,87,77726,700
"58",1996-08-23,"monthly","Rokycany",1,0,NA,NA,NA,NA,NA,"F",NA,NA,54,28954,-2204
"59",1994-03-27,"monthly","Hradec Kralove",1,0,NA,NA,NA,NA,NA,"F",6190,695,123,89720,600
"61",1993-12-11,"monthly","Karvina",2,0,NA,NA,NA,NA,NA,"F",1645,668,117,31765,700
"62",1993-03-28,"monthly","Pardubice",1,0,NA,NA,NA,NA,NA,"F",2273,2273,135,36366,1100
"63",1996-11-16,"monthly","Domazlice",2,0,NA,NA,NA,NA,NA,"F",2237,157,47,37303,600
"64",1997-03-11,"monthly","Zlin",1,0,NA,NA,NA,NA,NA,"F",NA,NA,30,79559,200
"65",1996-10-29,"monthly","Liberec",1,0,NA,NA,NA,NA,NA,"F",3401,686,53,85379,600
"66",1993-12-03,"after every transaction","Rychnov nad Kneznou",1,0,NA,NA,NA,NA,NA,"F",4471.3,4471.3,123,129813,400
"67",1994-10-19,"monthly","Jindrichuv Hradec",1,0,165960,6915,24,"expired","F","T",6915,445,102,134939,700
"68",1994-12-20,"after every transaction","Litomerice",1,0,NA,NA,NA,NA,NA,"F",1705,61,98,131470,200
"69",1996-01-12,"monthly","Zlin",1,0,NA,NA,NA,NA,NA,"F",NA,NA,123,71708,600
"70",1995-02-18,"monthly","Mlada Boleslav",2,0,NA,NA,NA,NA,NA,"F",4150,4150,101,60184,500
"71",1994-03-05,"monthly","Hl.m. Praha",2,0,NA,NA,NA,NA,NA,"F",1602,778,118,94860,700
"72",1996-06-20,"weekly","Hl.m. Praha",2,0,NA,NA,NA,NA,NA,"F",7109,2286,92,156396,1100
"73",1993-11-08,"monthly","Olomouc",1,0,NA,NA,NA,NA,NA,"F",6061,6061,128,89175,400
"75",1995-08-13,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",3369,3369,82,49848,700
"76",1996-05-16,"monthly","Usti nad Orlici",1,1,NA,NA,NA,NA,NA,"F",5208,5208,73,49609,200
"77",1996-11-19,"monthly","Vyskov",1,1,NA,NA,NA,NA,NA,"F",1709,1709,52,56325,400
"78",1993-07-07,"monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,NA,"F",9039,9039,137,78733,400
"79",1996-11-29,"monthly","Beroun",1,1,NA,NA,NA,NA,NA,"F",2788,2788,47,27474,600
"80",1995-09-27,"monthly","Hradec Kralove",2,0,NA,NA,NA,NA,NA,"F",2252,2252,75,28082,900
"81",1996-07-18,"monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,NA,"F",1765,62,74,39080,1000
"82",1994-05-03,"monthly","Plzen - mesto",1,0,NA,NA,NA,NA,NA,"F",NA,NA,144,161574,300
"83",1993-04-16,"monthly","Plzen - mesto",2,1,NA,NA,NA,NA,NA,"F",3940,2210,147,42435,500
"84",1995-12-25,"after every transaction","Chrudim",1,0,NA,NA,NA,NA,NA,"F",12452,1709,93,133184,1100
"85",1997-03-23,"monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,NA,"F",3831,1792,54,59467,400
"86",1993-03-07,"monthly","Brno - mesto",2,0,NA,NA,NA,NA,NA,"F",1160,1002,141,28700,800
"88",1996-07-03,"monthly","Tachov",1,0,NA,NA,NA,NA,NA,"F",2268,2268,61,27174,300
"89",1997-09-25,"monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,NA,"F",NA,NA,33,39075,600
"90",1994-07-13,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",4372,361,110,74107,500
"91",1996-11-06,"monthly","Pelhrimov",1,0,NA,NA,NA,NA,NA,"F",NA,NA,42,77111,-4188
"93",1996-06-12,"monthly","Benesov",1,0,NA,NA,NA,NA,NA,"F",NA,NA,66,38377,500
"95",1995-03-30,"monthly","Hl.m. Praha",2,0,NA,NA,NA,NA,NA,"F",NA,NA,92,97808,200
"96",1993-02-18,"monthly","Frydek - Mistek",2,0,NA,NA,NA,NA,NA,"F",4422.1,46,146,156580,1100
"97",1996-05-05,"monthly","Ostrava - mesto",2,0,102876,8573,12,"expired","F","T",8573,3,67,67288,900
"98",1997-05-02,"monthly","Brno - venkov",2,0,NA,NA,NA,NA,NA,"F",1569,749,41,25586,1100
"99",1995-06-27,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",4682,4503,93,122885,600
"100",1993-12-28,"monthly","Usti nad Labem",1,0,NA,NA,NA,NA,NA,"F",7329,598,145,84377,600
"101",1996-04-16,"monthly","Jablonec n. Nisou",1,0,NA,NA,NA,NA,NA,"F",8037,855,71,81423,1000
"102",1993-10-16,"monthly","Praha - zapad",1,0,NA,NA,NA,NA,NA,"F",7370.2,377,118,96777,-7104
"103",1996-03-10,"monthly","Chrudim",1,0,265320,7370,36,"current","T","T",7370.2,7370.2,84,124758,-1140
"104",1993-04-15,"monthly","Litomerice",2,0,NA,NA,NA,NA,NA,"F",1464,578,133,31741,500
"105",1997-07-10,"monthly","Tabor",1,0,352704,7348,48,"current","F","T",7348,7348,30,74694,800
"106",1994-11-27,"monthly","Vyskov",1,0,NA,NA,NA,NA,NA,"F",3735,3735,99,76991,500
"107",1993-11-05,"monthly","Zlin",1,0,NA,NA,NA,NA,NA,"F",2015,959,152,50612,1000
"108",1995-03-10,"monthly","Blansko",1,0,NA,NA,NA,NA,NA,"F",4803,4803,94,88609,800
"109",1997-04-20,"monthly","Blansko",1,0,NA,NA,NA,NA,NA,"F",NA,NA,70,53624,1100
"110",1996-07-17,"monthly","Liberec",1,0,162576,4516,36,"current","F","T",4516,98,61,79652,900
"112",1993-03-12,"monthly","Kutna Hora",2,1,NA,NA,NA,NA,NA,"F",2051,2051,141,52895,200
"113",1996-07-22,"monthly","Brno - venkov",1,0,NA,NA,NA,NA,NA,"F",3146,3146,55,32697,600
"114",1997-03-14,"monthly","Prostejov",1,1,NA,NA,NA,NA,NA,"F",1590,533,39,27332,500
"115",1993-03-19,"monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,NA,"F",5110,5110,158,52047,800
"116",1996-03-21,"monthly","Mlada Boleslav",2,1,NA,NA,NA,NA,NA,"F",5529,927,68,77466,800
"117",1993-09-05,"monthly","Tachov",1,0,NA,NA,NA,NA,NA,"F",2329,2329,129,32382,900
"118",1997-09-18,"monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,NA,"F",2449,2449,37,40532,600
"119",1993-05-25,"monthly","Plzen - jih",1,0,NA,NA,NA,NA,NA,"F",8252,8252,135,70508,800
"120",1995-06-16,"weekly","Znojmo",1,0,NA,NA,NA,NA,NA,"F",3965,1899,105,131889,1100
"121",1997-10-11,"monthly","Brno - venkov",1,0,NA,NA,NA,NA,NA,"F",929,393,39,37504,200
"122",1996-10-30,"monthly","Tachov",1,0,NA,NA,NA,NA,NA,"F",NA,NA,53,86062,900
"123",1993-03-13,"monthly","Tabor",2,0,NA,NA,NA,NA,NA,"F",3016,3016,135,27494,200
"124",1997-12-28,"monthly","Brno - venkov",1,0,NA,NA,NA,NA,NA,"F",971,447,29,26468,800
"125",1996-09-07,"after every transaction","Benesov",1,0,NA,NA,NA,NA,NA,"F",4422.1,4422.1,66,130433,200
"126",1993-10-23,"monthly","Kolin",1,0,NA,NA,NA,NA,NA,"F",7384,7384,140,118219,200
"127",1994-02-02,"monthly","Rokycany",1,1,NA,NA,NA,NA,NA,"F",2242,2242,119,23673,600
"128",1993-02-19,"monthly","Benesov",1,1,NA,NA,NA,NA,NA,"F",NA,NA,208,86413,300
"129",1997-10-01,"monthly","Ostrava - mesto",2,0,NA,NA,NA,NA,NA,"F",3417,3417,31,29052,600
"130",1997-02-12,"monthly","Brno - mesto",1,1,NA,NA,NA,NA,NA,"F",3969,3969,42,35067,300
"131",1995-06-13,"monthly","Usti nad Orlici",1,1,NA,NA,NA,NA,NA,"F",6904,6904,90,48212,5496
"132",1996-05-11,"after every transaction","Teplice",2,1,88440,7370,12,"expired","F","T",7370.2,7370.2,79,144112,200
"133",1997-10-11,"weekly","Zlin",1,0,NA,NA,NA,NA,NA,"F",5123,3094,44,144565,900
"134",1997-12-10,"monthly","Chomutov",1,0,NA,NA,NA,NA,NA,"F",NA,NA,27,47697,300
"135",1993-06-15,"monthly","Prerov",1,0,NA,NA,NA,NA,NA,"F",NA,NA,161,75906,700
"136",1996-05-14,"monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,NA,"F",2932,2932,60,32170,600
"137",1996-07-19,"monthly","Karvina",1,0,NA,NA,NA,NA,NA,"F",3464,787,59,81958,900
"138",1995-09-19,"monthly","Domazlice",2,1,NA,NA,NA,NA,NA,"F",NA,NA,15,21200,1100
"139",1997-05-15,"weekly","Louny",1,0,NA,NA,NA,NA,NA,"F",NA,NA,39,88778,1000
"140",1996-06-25,"monthly","Karlovy Vary",1,0,NA,NA,NA,NA,NA,"F",NA,NA,42,84824,300
"141",1996-03-06,"monthly","Louny",2,0,NA,NA,NA,NA,NA,"F",6716,1791,69,89665,900
"142",1993-02-15,"monthly","Trutnov",2,0,NA,NA,NA,NA,NA,"F",1845,1845,137,30167,900
"143",1996-11-27,"monthly","Tabor",1,0,NA,NA,NA,NA,NA,"F",2272,2272,47,27564,500
"144",1997-04-03,"weekly","Praha - vychod",1,0,NA,NA,NA,NA,NA,"F",NA,NA,53,123234,-2469
"145",1996-01-03,"monthly","Tachov",1,0,NA,NA,NA,NA,NA,"F",4815,4815,94,68969,1100
"146",1993-09-02,"monthly","Kladno",1,1,NA,NA,NA,NA,NA,"F",3823,3823,129,38814,500
"148",1993-06-21,"monthly","Mlada Boleslav",1,0,NA,NA,NA,NA,NA,"F",1736,89,129,27206,500
"149",1997-11-16,"monthly","Hradec Kralove",1,0,NA,NA,NA,NA,NA,"F",NA,NA,44,58484,300
"150",1995-03-16,"monthly","Opava",1,0,NA,NA,NA,NA,NA,"F",NA,NA,130,98752,1900
"151",1993-09-06,"monthly","Sumperk",2,0,NA,NA,NA,NA,NA,"F",2668,411,147,34425,1000
"152",1996-04-12,"monthly","Hl.m. Praha",2,0,NA,NA,NA,NA,NA,"F",2993,426,76,35746,1100
"153",1993-09-19,"monthly","Vsetin",1,1,NA,NA,NA,NA,NA,"F",4544,4544,129,53039,400
"154",1994-06-21,"monthly","Nachod",1,0,NA,NA,NA,NA,NA,"F",3891,3891,111,96137,900
"155",1995-11-07,"monthly","Jihlava",1,0,NA,NA,NA,NA,NA,"F",2988,2988,95,38532,300
"156",1997-10-22,"monthly","Zlin",1,0,NA,NA,NA,NA,NA,"F",2030,2030,25,21707,1000
"157",1997-03-28,"monthly","Praha - zapad",1,0,NA,NA,NA,NA,NA,"F",3991,3991,40,39576,200
"158",1995-03-15,"monthly","Litomerice",2,1,NA,NA,NA,NA,NA,"F",3420,3420,91,83034,700
"159",1997-02-11,"monthly","Karvina",1,0,NA,NA,NA,NA,NA,"F",8694,8694,46,103034,800
"160",1993-09-04,"monthly","Cheb",1,0,NA,NA,NA,NA,NA,"F",5552,2374,152,113217,400
"161",1994-07-04,"monthly","Plzen - sever",1,1,NA,NA,NA,NA,NA,"F",1389,892,109,29469,900
"162",1993-08-25,"monthly","Prostejov",2,0,NA,NA,NA,NA,NA,"F",3458,3458,125,40827,200
"163",1993-01-27,"monthly","Sokolov",1,0,NA,NA,NA,NA,NA,"F",3116,612,141,43752,900
"164",1996-09-13,"monthly","Prostejov",1,0,NA,NA,NA,NA,NA,"F",NA,NA,32,67994,200
"165",1993-06-01,"monthly","Klatovy",2,0,NA,NA,NA,NA,NA,"F",1788,1788,135,62489,1000
"166",1996-08-20,"monthly","Pelhrimov",1,0,NA,NA,NA,NA,NA,"F",3044,3044,53,31842,800
"167",1996-02-26,"weekly","Rokycany",1,1,NA,NA,NA,NA,NA,"F",NA,NA,83,126467,1100
"168",1993-04-27,"monthly","Tachov",2,0,NA,NA,NA,NA,NA,"F",2013,2013,133,24794,500
"169",1995-09-28,"monthly","Kladno",1,0,NA,NA,NA,NA,NA,"F",4975,696,82,78256,500
"170",1996-07-02,"monthly","Kromeriz",1,0,NA,NA,NA,NA,NA,"F",NA,NA,62,79183,1000
"171",1996-06-08,"monthly","Nachod",1,0,NA,NA,NA,NA,NA,"F",3486,3486,63,33192,500
"172",1993-08-30,"monthly","Rakovnik",2,0,NA,NA,NA,NA,NA,"F",4221,4221,131,78889,700
"173",1993-11-26,"monthly","Zdar nad Sazavou",2,0,104808,8734,12,"expired","F","T",8734,189,156,87882,500
"174",1996-09-04,"monthly","Usti nad Orlici",1,1,NA,NA,NA,NA,NA,"F",2139,2139,57,21345,900
"176",1996-08-12,"weekly","Novy Jicin",1,0,27456,2288,12,"expired","F","T",4564,36,82,126553,800
"177",1997-09-26,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",NA,NA,32,75171,800
"178",1997-09-06,"monthly","Kromeriz",1,0,NA,NA,NA,NA,NA,"F",1482,505,33,18082,1000
"179",1997-09-22,"weekly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",7615,378,38,134432,200
"180",1993-12-14,"weekly","Brno - venkov",1,0,NA,NA,NA,NA,NA,"F",NA,NA,133,116418,-2335
"181",1996-06-11,"monthly","Tabor",1,0,NA,NA,NA,NA,NA,"F",6780,6780,65,52501,200
"182",1996-08-24,"monthly","Pardubice",1,0,NA,NA,NA,NA,NA,"F",NA,NA,6,16900,200
"183",1993-12-12,"monthly","Hradec Kralove",1,0,NA,NA,NA,NA,NA,"F",5202,752,125,63967,200
"184",1996-02-21,"monthly","Vsetin",1,0,NA,NA,NA,NA,NA,"F",1623,1623,70,86912,600
"185",1997-07-04,"monthly","Ceska Lipa",1,0,NA,NA,NA,NA,NA,"F",6526,6526,37,79865,1000
"186",1993-07-29,"weekly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",6862,6862,172,162314,700
"187",1993-03-28,"monthly","Kolin",1,0,NA,NA,NA,NA,NA,"F",2798,2798,135,26365,200
"188",1993-04-20,"monthly","Brno - mesto",1,0,NA,NA,NA,NA,NA,"F",7426,7426,139,100010,700
"189",1997-04-16,"monthly","Sumperk",1,0,NA,NA,NA,NA,NA,"F",4244,360,42,76341,700
"190",1995-03-02,"monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,NA,"F",4519,42,97,69474,500
"191",1997-03-17,"monthly","Usti nad Labem",1,0,NA,NA,NA,NA,NA,"F",4420.9,4420.9,43,126097,600
"192",1993-01-08,"monthly","Brno - venkov",1,1,NA,NA,NA,NA,NA,"F",3583,3583,139,39284,300
"193",1996-12-22,"monthly","Jesenik",2,0,NA,NA,NA,NA,NA,"F",7110,7110,52,39963,300
"194",1996-08-01,"monthly","Chrudim",1,0,NA,NA,NA,NA,NA,"F",2648,2648,72,38894,400
"195",1997-02-27,"monthly","Karvina",2,0,NA,NA,NA,NA,NA,"F",6260,6260,46,56940,600
"196",1993-11-14,"monthly","Kladno",1,0,NA,NA,NA,NA,NA,"F",4417,385,137,86238,400
"197",1993-02-25,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",9454,9454,144,76344,800
"198",1993-10-25,"monthly","Karvina",1,0,NA,NA,NA,NA,NA,"F",2166,700,121,30570,900
"199",1996-10-26,"monthly","Karvina",1,0,NA,NA,NA,NA,NA,"F",1984,1984,49,29612,700
"200",1994-07-03,"monthly","Pelhrimov",1,0,NA,NA,NA,NA,NA,"F",NA,NA,114,125341,900
"201",1994-11-02,"monthly","Vyskov",1,0,NA,NA,NA,NA,NA,"F",9584,9584,104,62199,600
"204",1996-01-13,"monthly","Bruntal",1,0,NA,NA,NA,NA,NA,"F",1950,1950,67,27125,600
"205",1997-10-08,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",4297,4297,37,45527,1000
"206",1995-04-08,"monthly","Trebic",2,0,NA,NA,NA,NA,NA,"F",2902,2902,119,42635,1100
"207",1993-07-25,"monthly","Benesov",1,0,NA,NA,NA,NA,NA,"F",2726,10,155,36471,900
"208",1996-03-27,"monthly","Brno - mesto",1,1,NA,NA,NA,NA,NA,"F",4148,545,71,61131,700
"209",1996-11-24,"monthly","Litomerice",1,0,NA,NA,NA,NA,NA,"F",1796,41,65,45817,900
"210",1996-03-17,"monthly","Rychnov nad Kneznou",1,0,NA,NA,NA,NA,NA,"F",7534,7534,69,56027,1000
"211",1997-07-19,"monthly","Plzen - sever",1,0,NA,NA,NA,NA,NA,"F",2394,2394,46,151101,800
"212",1993-01-20,"weekly","Plzen - jih",1,0,NA,NA,NA,NA,NA,"F",13841,13841,146,137979,200
"213",1995-08-29,"monthly","Opava",1,0,NA,NA,NA,NA,NA,"F",5625,5625,81,87659,1000
"214",1997-03-09,"monthly","Domazlice",2,0,NA,NA,NA,NA,NA,"F",2097,2097,39,17518,500
"215",1997-11-25,"monthly","Tachov",2,0,NA,NA,NA,NA,NA,"F",2121,2121,23,19113,1000
"216",1994-05-16,"monthly","Louny",1,0,NA,NA,NA,NA,NA,"F",1513,1486,108,36351,500
"217",1995-01-20,"monthly","Vsetin",1,0,NA,NA,NA,NA,NA,"F",3459,653,97,48581,800
"218",1996-02-06,"monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,NA,"F",3182,3182,104,146909,-2172
"219",1995-09-06,"monthly","Plzen - sever",1,1,NA,NA,NA,NA,NA,"F",2988,2336,80,81085,500
"220",1993-04-09,"monthly","Olomouc",1,0,NA,NA,NA,NA,NA,"F",3095,3095,133,36356,400
"221",1996-10-30,"monthly","Prachatice",1,1,NA,NA,NA,NA,NA,"F",7896,7896,54,69998,300
"222",1993-03-15,"monthly","Litomerice",1,0,NA,NA,NA,NA,NA,"F",3440.9,3440.9,140,106492,500
"223",1995-06-13,"monthly","Most",1,0,NA,NA,NA,NA,NA,"F",NA,NA,64,76631,800
"224",1996-10-27,"monthly","Cesky Krumlov",1,0,NA,NA,NA,NA,NA,"F",3503,3503,50,28997,1100
"225",1993-07-28,"monthly","Hl.m. Praha",2,1,NA,NA,NA,NA,NA,"F",3383,2,179,92940,1000
"226",1997-02-23,"monthly","Karvina",1,0,109344,9112,12,"current","F","T",9112,8928,55,80433,1000
"227",1995-03-28,"monthly","Plzen - jih",1,0,NA,NA,NA,NA,NA,"F",9381,9381,91,119200,700
"228",1993-09-28,"monthly","Kolin",1,0,NA,NA,NA,NA,NA,"F",2158,1946,129,81057,800
"229",1997-06-07,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",2505,2505,39,32493,1100
"230",1996-02-26,"monthly","Hl.m. Praha",2,0,NA,NA,NA,NA,NA,"F",5615,1058,70,66172,600
"231",1995-04-03,"monthly","Domazlice",2,1,NA,NA,NA,NA,NA,"F",2073,2073,91,21913,900
"232",1997-11-29,"monthly","Jicin",1,0,NA,NA,NA,NA,NA,"F",3643,3643,28,84657,700
"234",1993-07-15,"monthly","Opava",2,0,NA,NA,NA,NA,NA,"F",2809,2809,127,29550,500
"235",1993-10-06,"monthly","Usti nad Labem",1,0,NA,NA,NA,NA,NA,"F",1321,895,127,30633,1000
"236",1996-03-16,"monthly","Olomouc",2,1,NA,NA,NA,NA,NA,"F",NA,NA,11,24700,900
"237",1994-03-25,"monthly","Svitavy",1,0,NA,NA,NA,NA,NA,"F",1788,152,111,19487,900
"238",1993-08-15,"monthly","Kutna Hora",1,1,NA,NA,NA,NA,NA,"F",2234,2234,125,21972,500
"239",1993-03-01,"weekly","Jesenik",1,0,NA,NA,NA,NA,NA,"F",5995,152,184,178670,300
"240",1997-04-28,"monthly","Olomouc",2,0,NA,NA,NA,NA,NA,"F",9621,1050,42,67915,300
"241",1996-09-29,"monthly","Cesky Krumlov",1,0,NA,NA,NA,NA,NA,"F",1344,610,69,41009,500
"242",1996-08-29,"monthly","Jesenik",1,1,NA,NA,NA,NA,NA,"F",2977,1062,58,72333,500
"243",1993-11-06,"weekly","Brno - venkov",1,0,NA,NA,NA,NA,NA,"F",3067,1041,154,157027,900
"244",1993-02-08,"monthly","Karlovy Vary",1,0,NA,NA,NA,NA,NA,"F",2190,226,175,62976,800
"245",1993-11-25,"monthly","Znojmo",1,0,NA,NA,NA,NA,NA,"F",NA,NA,148,135093,-1211
"246",1997-12-20,"monthly","Znojmo",2,0,NA,NA,NA,NA,NA,"F",1970,1970,23,19310,700
"248",1995-04-02,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",2484.9,2484.9,91,74703,700
"249",1996-12-03,"monthly","Plzen - sever",1,0,NA,NA,NA,NA,NA,"F",5618,1876,52,64867,600
"250",1997-05-10,"monthly","Breclav",1,0,NA,NA,NA,NA,NA,"F",3066,3066,46,52311,500
"251",1996-04-06,"monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,NA,"F",3059,3059,74,61297,900
"252",1996-12-26,"monthly","Prachatice",1,0,NA,NA,NA,NA,NA,"F",1767,1767,45,52630,1000
"253",1995-12-05,"monthly","Nachod",1,0,NA,NA,NA,NA,NA,"F",NA,NA,75,106815,-1213
"255",1996-11-03,"monthly","Frydek - Mistek",1,1,NA,NA,NA,NA,NA,"F",5323,5323,53,101534,900
"256",1995-05-14,"monthly","Litomerice",1,1,NA,NA,NA,NA,NA,"F",NA,NA,87,76527,1100
