"account_id","date","amount","payments","id","loanduration","loantype"
"3679",1996-07-23,444864,9268,"5725",48,"C"
"3711",1997-11-05,460980,7683,"5731",60,"D"
"3747",1995-01-02,76380,6365,"5739",12,"A"
"3752",1995-04-02,18564,1547,"5740",12,"A"
"3754",1996-11-03,68544,2856,"5741",24,"A"
"3804",1996-02-08,63252,5271,"5750",12,"A"
"3834",1994-09-28,23052,1921,"5754",12,"A"
"3859",1997-05-02,307200,5120,"5758",60,"D"
"3862",1998-09-18,74916,2081,"5760",36,"C"
"3875",1998-02-10,153936,6414,"5765",24,"C"
"3906",1998-03-08,334620,5577,"5772",60,"C"
"3907",1998-03-16,133848,5577,"5773",24,"C"
"3916",1998-07-12,96984,2694,"5774",36,"C"
"3942",1997-10-14,107352,2982,"5779",36,"C"
"3953",1998-01-04,63576,5298,"5782",12,"C"
"3967",1997-03-29,84600,2350,"5784",36,"D"
"4033",1997-03-20,84288,1756,"5790",48,"C"
"4052",1997-12-28,106128,2948,"5799",36,"C"
"4079",1995-04-05,158976,3312,"5804",48,"C"
"4081",1995-11-28,137904,5746,"5805",24,"B"
"4099",1997-07-31,41856,872,"5808",48,"C"
"4116",1998-06-03,151200,4200,"5815",36,"C"
"4127",1997-08-15,100800,4200,"5817",24,"D"
"4144",1998-06-21,212976,5916,"5823",36,"C"
"4190",1997-08-28,405780,6763,"5830",60,"C"
"4259",1994-08-27,79632,3318,"5836",24,"A"
"4260",1994-06-29,244560,4076,"5837",60,"C"
"4268",1998-11-04,41988,3499,"5841",12,"C"
"4293",1997-05-22,164196,4561,"5850",36,"C"
"4320",1997-08-09,51360,4280,"5856",12,"B"
"4337",1994-12-08,51408,2142,"5861",24,"A"
"4342",1997-12-09,100128,4172,"5862",24,"C"
"4354",1998-10-30,327660,5461,"5865",60,"C"
"4361",1997-03-29,90156,7513,"5868",12,"A"
"4413",1995-02-08,221280,4610,"5876",48,"C"
"4414",1995-02-23,97224,4051,"5877",24,"A"
"4415",1997-04-01,74040,6170,"5878",12,"A"
"4423",1995-10-31,73836,2051,"5880",36,"A"
"4427",1994-09-26,87816,7318,"5882",12,"A"
"4447",1996-10-31,192744,5354,"5886",36,"C"
"4448",1994-10-03,192744,5354,"5887",36,"A"
"4456",1998-02-09,321240,5354,"5889",60,"C"
"4462",1996-05-14,66480,2770,"5892",24,"B"
"4467",1998-08-03,86184,2394,"5893",36,"C"
"4473",1997-01-03,93960,1566,"5895",60,"C"
"4476",1996-09-25,15192,633,"5897",24,"A"
"4503",1996-01-01,135360,2820,"5900",48,"C"
"4533",1998-05-05,81144,2254,"5906",36,"C"
"4550",1998-01-03,61320,1022,"5909",60,"C"
"4576",1994-06-04,300204,8339,"5918",36,"A"
"4580",1995-08-05,20220,1685,"5922",12,"A"
"4585",1996-10-10,64656,1347,"5923",48,"C"
"4616",1998-01-12,66696,2779,"5930",24,"C"
"4618",1997-03-17,66696,2779,"5931",24,"D"
"4626",1997-06-18,33348,2779,"5932",12,"A"
"4631",1997-12-13,87528,3647,"5933",24,"C"
"4650",1996-08-25,402000,6700,"5938",60,"C"
"4660",1997-05-28,106944,4456,"5940",24,"C"
"4681",1997-03-15,162624,3388,"5942",48,"C"
"4715",1997-03-14,97176,4049,"5953",24,"C"
"4725",1997-11-04,168264,4674,"5956",36,"C"
"4727",1995-08-11,107640,4485,"5959",24,"A"
"4746",1997-09-07,204780,3413,"5963",60,"C"
"4774",1995-07-09,465072,9689,"5970",48,"C"
"4784",1997-11-24,219456,4572,"5973",48,"C"
"4794",1997-12-27,465504,9698,"5976",48,"D"
"4803",1997-02-25,59136,1232,"5977",48,"C"
"4825",1995-08-18,21396,1783,"5980",12,"A"
"4851",1996-08-22,141648,5902,"5988",24,"A"
"4852",1996-03-04,213300,5925,"5989",36,"C"
"4858",1998-07-27,335184,6983,"5991",48,"D"
"4863",1997-03-18,76080,6340,"5992",12,"A"
"4894",1993-11-04,117024,4876,"5997",24,"A"
"4907",1996-01-03,98832,2059,"5999",48,"C"
"4937",1994-07-23,143904,5996,"6004",24,"A"
"4948",1996-11-15,359760,5996,"6006",60,"C"
"4949",1997-08-30,289920,6040,"6007",48,"C"
"4969",1997-03-06,150180,2503,"6010",60,"C"
"4981",1996-11-28,179328,3736,"6011",48,"C"
"4994",1996-08-03,258444,7179,"6012",36,"C"
"4995",1996-02-03,128988,3583,"6013",36,"D"
"4999",1997-05-18,165168,4588,"6014",36,"C"
"5001",1996-11-09,110112,4588,"6015",24,"A"
"5033",1996-07-25,11400,950,"6019",12,"A"
"5066",1996-02-10,61656,2569,"6027",24,"B"
"5072",1997-02-09,317520,5292,"6028",60,"C"
"5118",1997-05-04,53232,1109,"6037",48,"C"
"5120",1994-08-10,323472,6739,"6038",48,"A"
"5126",1996-01-11,20352,424,"6043",48,"C"
"5133",1998-01-27,57060,4755,"6044",12,"C"
"5164",1998-03-23,22356,621,"6052",36,"C"
"5180",1998-07-16,58764,4897,"6054",12,"C"
"5181",1997-04-28,399120,6652,"6055",60,"C"
"5196",1997-12-28,79824,6652,"6059",12,"A"
"5213",1996-04-25,320976,6687,"6063",48,"D"
"5215",1994-08-04,14628,1219,"6064",12,"A"
"5228",1994-07-11,173808,7242,"6066",24,"A"
"5256",1994-05-10,193968,5388,"6072",36,"A"
"5263",1996-11-12,276300,4605,"6073",60,"C"
"5267",1997-11-26,129312,5388,"6075",24,"D"
"5269",1997-02-02,117420,1957,"6076",60,"C"
"5270",1993-11-22,79608,3317,"6077",24,"A"
"5283",1998-09-09,170832,3559,"6078",48,"C"
"5305",1998-03-31,240528,5011,"6083",48,"C"
"5313",1994-02-27,300660,5011,"6087",60,"C"
"5317",1997-03-07,90180,2505,"6088",36,"C"
"5358",1997-01-24,68340,1139,"6095",60,"C"
"5362",1997-08-21,202848,4226,"6097",48,"C"
"5385",1994-04-07,149340,2489,"6103",60,"C"
"5395",1997-09-05,158184,4394,"6104",36,"C"
"5422",1996-06-03,368880,6148,"6109",60,"C"
"5428",1993-09-24,174744,7281,"6111",24,"B"
"5442",1994-06-17,174744,7281,"6112",24,"B"
"5445",1997-10-01,78696,2186,"6113",36,"C"
"5477",1997-10-04,349392,7279,"6118",48,"C"
"5481",1994-09-11,209184,4358,"6120",48,"A"
"5541",1996-07-18,32640,680,"6130",48,"C"
"5572",1998-04-19,140880,2348,"6136",60,"C"
"5574",1996-04-10,44628,3719,"6137",12,"A"
"5591",1997-01-21,221880,3698,"6142",60,"C"
"5593",1996-08-09,44376,3698,"6144",12,"A"
"5602",1997-12-28,177504,3698,"6147",48,"C"
"5622",1994-11-02,83016,6918,"6150",12,"A"
"5628",1995-04-25,225420,3757,"6151",60,"C"
"5632",1995-07-25,285600,4760,"6153",60,"C"
"5650",1995-07-10,98592,4108,"6157",24,"A"
"5698",1998-11-21,99216,2756,"6168",36,"C"
"5700",1995-03-16,103680,1728,"6169",60,"D"
"5724",1997-01-08,232560,4845,"6173",48,"C"
"5735",1996-02-21,290700,4845,"6175",60,"D"
"5742",1995-12-16,232560,4845,"6178",48,"C"
"5774",1995-11-28,31176,1299,"6185",24,"A"
"5794",1996-05-06,123600,2060,"6190",60,"C"
"5837",1997-09-14,177804,4939,"6196",36,"C"
"5891",1994-04-18,65184,5432,"6202",12,"A"
"5912",1998-06-23,184620,3077,"6207",60,"C"
"5927",1994-06-06,87216,1817,"6210",48,"B"
"5944",1998-06-18,78720,1640,"6215",48,"C"
"5952",1994-09-30,141240,5885,"6216",24,"A"
"5991",1994-11-03,61056,1272,"6223",48,"A"
"6030",1995-03-04,28248,1177,"6227",24,"A"
"6034",1993-12-01,464520,7742,"6228",60,"B"
"6040",1994-10-02,11736,489,"6229",24,"A"
"6051",1994-07-08,276660,7685,"6232",36,"B"
"6061",1998-05-28,5148,429,"6234",12,"C"
"6062",1998-04-19,321360,5356,"6235",60,"C"
"6075",1998-01-06,407952,8499,"6237",48,"D"
"6083",1997-09-28,360864,7518,"6239",48,"D"
"6097",1997-10-22,26208,728,"6242",36,"C"
"6118",1995-01-08,270648,7518,"6244",36,"B"
"6138",1997-07-30,67608,2817,"6249",24,"C"
"6148",1994-11-04,59760,2490,"6253",24,"A"
"6157",1997-12-28,247920,5165,"6254",48,"C"
"6158",1997-02-08,247920,5165,"6255",48,"D"
"6226",1994-12-20,398640,6644,"6272",60,"C"
"6265",1997-06-10,87360,3640,"6278",24,"C"
"6273",1994-06-07,87360,3640,"6279",24,"A"
"6289",1996-08-11,85632,1784,"6283",48,"C"
"6353",1995-02-12,79920,1332,"6294",60,"C"
"6358",1996-08-06,270384,5633,"6296",48,"C"
"6363",1994-10-25,17508,1459,"6297",12,"A"
"6397",1996-09-16,181020,3017,"6302",60,"C"
"6400",1996-02-12,72408,3017,"6303",24,"B"
"6425",1994-12-20,36684,3057,"6306",12,"A"
"6434",1996-11-11,110136,4589,"6309",24,"A"
"6440",1997-06-17,34572,2881,"6310",12,"A"
"6453",1998-05-17,10944,304,"6312",36,"C"
"6461",1997-06-15,150912,4192,"6313",36,"C"
"6472",1995-02-06,43164,3597,"6315",12,"A"
"6473",1994-05-26,76908,6409,"6316",12,"B"
"6495",1998-04-28,104964,8747,"6320",12,"C"
"6505",1998-10-08,38496,3208,"6321",12,"C"
"6510",1997-05-06,76992,3208,"6322",24,"C"
"6555",1994-03-31,212400,5900,"6336",36,"A"
"6592",1997-08-24,390660,6511,"6338",60,"C"
"6609",1995-11-12,60156,1671,"6342",36,"B"
"6649",1997-05-22,100260,1671,"6346",60,"C"
"6678",1997-07-09,294384,6133,"6350",48,"C"
"6686",1997-12-25,116496,4854,"6353",24,"C"
"6688",1996-10-23,22968,638,"6354",36,"C"
"6699",1997-09-24,127200,2650,"6355",48,"C"
"6701",1993-12-08,95400,2650,"6356",36,"A"
"6706",1998-07-12,64860,1081,"6357",60,"C"
"6715",1995-01-14,137880,2298,"6358",60,"D"
"6738",1995-10-31,37908,3159,"6362",12,"A"
"6792",1997-03-17,17184,1432,"6377",12,"A"
"6856",1997-04-30,124344,3454,"6386",36,"C"
"6902",1997-12-21,49320,1370,"6399",36,"C"
"6922",1998-12-06,139488,5812,"6402",24,"C"
"6924",1995-12-05,194880,4060,"6403",48,"C"
"6930",1994-05-26,25944,1081,"6407",24,"A"
"6950",1997-02-12,475680,9910,"6415",48,"C"
"6985",1996-07-25,96768,2688,"6421",36,"C"
"7045",1997-06-16,288720,6015,"6435",48,"C"
"7049",1998-05-22,495180,8253,"6436",60,"C"
"7052",1997-11-09,63972,1777,"6437",36,"D"
"7082",1998-02-08,194160,4045,"6442",48,"C"
"7099",1998-06-10,234336,4882,"6450",48,"C"
"7123",1993-12-09,47016,3918,"6456",12,"A"
"7133",1994-11-06,48672,1352,"6460",36,"A"
"7136",1996-09-19,74124,2059,"6461",36,"C"
"7156",1998-04-16,49488,2062,"6464",24,"C"
"7176",1997-11-30,203940,3399,"6468",60,"C"
"7180",1998-11-17,99744,4156,"6469",24,"C"
"7181",1998-05-17,49872,4156,"6470",12,"C"
"7184",1996-08-04,155640,6485,"6471",24,"A"
"7190",1995-06-06,63360,1056,"6474",60,"C"
"7240",1998-01-15,152160,2536,"6486",60,"C"
"7262",1997-02-10,73260,1221,"6490",60,"C"
"7274",1998-03-12,49044,4087,"6495",12,"C"
"7401",1994-01-05,80952,3373,"6499",24,"A"
"7418",1996-04-29,30276,2523,"6501",12,"B"
"7424",1997-12-08,30276,2523,"6502",12,"A"
"7437",1998-04-19,110736,2307,"6508",48,"C"
"7445",1994-03-15,55368,2307,"6509",24,"A"
"7454",1994-05-26,63312,1319,"6512",48,"A"
"7485",1994-03-16,91200,3800,"6520",24,"A"
"7523",1995-01-03,288468,8013,"6526",36,"A"
"7542",1997-10-19,590820,9847,"6534",60,"C"
"7546",1995-11-02,41952,3496,"6535",12,"A"
"7559",1998-07-11,12792,1066,"6539",12,"C"
"7562",1995-12-31,309600,6450,"6540",48,"C"
"7565",1997-08-17,153504,3198,"6541",48,"C"
"7594",1997-12-11,130464,2718,"6544",48,"C"
"7606",1995-12-12,191880,3198,"6545",60,"C"
"7607",1995-03-27,31728,1322,"6546",24,"A"
"7614",1996-05-18,320592,6679,"6550",48,"C"
"7632",1998-01-08,170448,3551,"6552",48,"C"
"7636",1998-01-26,42384,3532,"6553",12,"C"
"7637",1997-01-29,390096,8127,"6554",48,"C"
"7674",1997-03-21,94488,3937,"6562",24,"C"
"7713",1998-02-25,220440,3674,"6568",60,"C"
"7721",1998-05-28,45456,3788,"6569",12,"C"
"7733",1998-05-12,140064,5836,"6571",24,"C"
"7745",1997-12-20,77544,2154,"6574",36,"C"
"7753",1994-03-11,51696,2154,"6577",24,"A"
"7765",1995-12-11,27984,2332,"6578",12,"A"
"7769",1994-05-22,196080,4085,"6580",48,"A"
"7795",1996-10-29,372120,6202,"6585",60,"C"
"7815",1996-01-01,189696,7904,"6589",24,"A"
"7819",1995-02-02,20832,434,"6591",48,"C"
"7824",1994-09-28,189696,7904,"6594",24,"B"
"7844",1994-06-25,91584,3816,"6596",24,"A"
"7857",1995-01-18,68112,5676,"6598",12,"A"
"7859",1996-11-19,72120,6010,"6599",12,"A"
"7861",1995-10-08,21852,607,"6600",36,"A"
"7890",1997-10-14,79344,1653,"6605",48,"C"
"7894",1997-10-21,153144,4254,"6607",36,"C"
"7907",1997-08-31,97392,8116,"6612",12,"A"
"7926",1996-09-22,84120,3505,"6613",24,"A"
"7957",1997-06-14,42900,3575,"6621",12,"A"
"7965",1994-09-30,71460,5955,"6624",12,"A"
"7966",1997-09-07,473280,7888,"6625",60,"D"
"7990",1998-04-23,144960,3020,"6632",48,"C"
"7997",1998-02-05,160656,6694,"6633",24,"C"
"8026",1997-09-09,128268,3563,"6641",36,"C"
"8027",1994-06-05,77640,6470,"6642",12,"A"
"8038",1998-01-18,35856,1494,"6643",24,"C"
"8039",1996-10-20,93600,3900,"6644",24,"A"
"8041",1994-11-06,140400,3900,"6645",36,"A"
"8051",1994-06-01,208320,4340,"6647",48,"A"
"8073",1994-02-17,49320,4110,"6650",12,"B"
"8085",1997-10-17,260400,4340,"6655",60,"D"
"8092",1996-02-20,56100,935,"6659",60,"C"
"8094",1997-05-09,220428,6123,"6660",36,"C"
"8114",1997-08-15,99300,1655,"6665",60,"C"
"8127",1996-07-15,155880,6495,"6667",24,"A"
"8129",1994-07-30,74736,2076,"6668",36,"A"
"8158",1997-11-01,238716,6631,"6675",36,"C"
"8159",1995-06-13,29784,1241,"6676",24,"A"
"8169",1997-08-12,97980,1633,"6677",60,"C"
"8173",1994-05-20,80340,6695,"6678",12,"A"
"8225",1998-03-30,36204,3017,"6682",12,"D"
"8260",1994-08-25,224604,6239,"6686",36,"A"
"8261",1993-09-13,87840,3660,"6687",24,"A"
"8268",1997-09-26,8616,359,"6688",24,"C"
"8316",1995-03-19,134784,5616,"6694",24,"A"
"8320",1997-06-04,309660,5161,"6695",60,"C"
"8321",1994-05-09,89040,1484,"6696",60,"C"
"8327",1996-03-10,247728,5161,"6698",48,"C"
"8330",1994-03-30,7656,319,"6699",24,"A"
"8377",1995-06-01,417060,6951,"6704",60,"C"
"8381",1997-07-25,333648,6951,"6705",48,"D"
"8405",1995-10-14,266220,4437,"6712",60,"C"
"8411",1996-05-06,220620,3677,"6715",60,"C"
"8475",1994-01-21,21072,878,"6721",24,"A"
"8489",1995-06-23,265320,7370,"6725",36,"A"
"8492",1995-09-03,85860,1431,"6726",60,"C"
"8505",1997-12-10,42840,3570,"6727",12,"A"
"8519",1994-08-11,74688,6224,"6729",12,"A"
"8523",1998-02-15,93036,7753,"6730",12,"C"
"8533",1996-09-19,174048,3626,"6732",48,"C"
"8547",1996-05-30,173016,4806,"6734",36,"C"
"8558",1994-06-14,288360,4806,"6736",60,"C"
"8564",1995-03-11,76680,3195,"6737",24,"A"
"8566",1994-09-29,230220,6395,"6738",36,"B"
"8625",1995-04-10,47304,1971,"6745",24,"A"
"8639",1998-06-06,185640,3094,"6746",60,"C"
"8645",1998-12-08,240900,4015,"6748",60,"C"
"8680",1996-07-14,85716,2381,"6751",36,"C"
"8688",1997-03-20,67980,5665,"6753",12,"A"
"8713",1998-07-24,170700,2845,"6755",60,"C"
"8742",1997-07-29,33144,2762,"6758",12,"A"
"8772",1997-06-19,88272,1839,"6763",48,"C"
"8776",1995-08-26,33984,708,"6764",48,"C"
"8784",1998-04-28,74352,3098,"6766",24,"C"
"8899",1995-12-25,125340,2089,"6785",60,"C"
"8919",1998-06-08,76104,3171,"6790",24,"C"
